airline_sentiment,negativereason,airline,airline_sentiment_gold,name,retweet_count,text,tweet_created,tweet_id,tweet_location,user_timezone
neutral,,Virgin America,,idk_but_youtube,0,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2/24/15 10:48,5.70294E+17,1/1 loner squad,Eastern Time (US & Canada)
positive,,Virgin America,,HyperCamiLax,0,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2/24/15 10:30,5.7029E+17,NYC,America/New_York
positive,,Virgin America,,HyperCamiLax,0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2/24/15 10:30,5.7029E+17,NYC,America/New_York
positive,,Virgin America,,mollanderson,0,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2/24/15 10:21,5.70287E+17,,Eastern Time (US & Canada)
positive,,Virgin America,,sjespers,0,@VirginAmerica Thanks!,2/24/15 10:15,5.70286E+17,"San Francisco, CA",Pacific Time (US & Canada)
negative,Late Flight,Virgin America,,smartwatermelon,0,@VirginAmerica SFO-PDX schedule is still MIA.,2/24/15 10:01,5.70282E+17,"palo alto, ca",Pacific Time (US & Canada)
positive,,Virgin America,,ItzBrianHunty,0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2/24/15 9:42,5.70278E+17,west covina,Pacific Time (US & Canada)
negative,Bad Flight,Virgin America,,heatherovieda,0,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2/24/15 9:39,5.70277E+17,this place called NYC,Eastern Time (US & Canada)
positive,,Virgin America,,thebrandiray,0,I _ flying @VirginAmerica. _ԍ,2/24/15 9:15,5.70271E+17,Somewhere celebrating life. ,Atlantic Time (Canada)
positive,,Virgin America,,JNLpierce,0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2/24/15 9:04,5.70268E+17,Boston | Waltham,Quito
negative,Can't Tell,Virgin America,,MISSGJ,0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2/24/15 8:55,5.70266E+17,,
positive,,Virgin America,,DT_Les,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2/24/15 8:49,5.70264E+17,,
positive,,Virgin America,,ElvinaBeck,0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2/24/15 8:30,5.70259E+17,Los Angeles,Pacific Time (US & Canada)
neutral,,Virgin America,,rjlynch21086,0,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,2/24/15 8:27,5.70259E+17,"Boston, MA ",Eastern Time (US & Canada)
negative,Customer Service Issue,Virgin America,,ayeevickiee,0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... _ I want free internet,2/24/15 8:18,5.70257E+17,714,Mountain Time (US & Canada)
negative,Customer Service Issue,Virgin America,,Leora13,0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,2/24/15 7:49,5.70249E+17,,
negative,Can't Tell,Virgin America,,meredithjlynn,0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2/24/15 7:11,5.7024E+17,,
neutral,,Virgin America,,AdamSinger,0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,2/24/15 5:44,5.70218E+17,"San Francisco, CA",Central Time (US & Canada)
negative,Bad Flight,Virgin America,,blackjackpro911,0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,2/24/15 5:05,5.70208E+17,"San Mateo, CA & Las Vegas, NV",
neutral,,Virgin America,,TenantsUpstairs,0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2/23/15 23:34,5.70125E+17,Brooklyn,Atlantic Time (Canada)
negative,Flight Booking Problems,Virgin America,,jordanpichler,0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems _",2/23/15 22:52,5.70114E+17,,Vienna
neutral,,Virgin America,,JCervantezzz,0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,2/23/15 21:35,5.70095E+17,"California, San Francisco",Pacific Time (US & Canada)
negative,Customer Service Issue,Virgin America,,Cuschoolie1,0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2/23/15 21:10,5.70088E+17,Washington DC,Quito
negative,Customer Service Issue,Virgin America,,amanduhmccarty,0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",2/23/15 20:55,5.70085E+17,,Pacific Time (US & Canada)
positive,,Virgin America,,NorthTxHomeTeam,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2/23/15 20:24,5.70077E+17,Texas,Central Time (US & Canada)
neutral,,Virgin America,,miaerolinea,0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2/23/15 18:46,5.70052E+17,Worldwide,Caracas
positive,,Virgin America,,Nicsplace,0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. _ω #MoodlitMonday,2/23/15 18:43,5.70051E+17,Central Texas,
positive,,Virgin America,,Nicsplace,0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",2/23/15 18:19,5.70045E+17,Central Texas,
neutral,,Virgin America,,elisha_malulani,0,@VirginAmerica when can I book my flight to Hawaii??,2/23/15 17:54,5.70039E+17,i'm creating a monster ,Pacific Time (US & Canada)
negative,Customer Service Issue,Virgin America,,DannyDouglass,0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2/23/15 17:41,5.70036E+17,"San Francisco, CA",Pacific Time (US & Canada)
positive,,Virgin America,,jamesferrandini,0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2/23/15 17:32,5.70034E+17,,
negative,Flight Booking Problems,Virgin America,,will_lenzenjr,0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2/23/15 17:00,5.70025E+17,Iowa City,Central Time (US & Canada)
neutral,,Virgin America,,GottAmanda,0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  _ٍ_ԍ_ռ,2/23/15 16:24,5.70016E+17,Los Angeles,
neutral,,Virgin America,,KGervaise,0,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,2/23/15 16:20,5.70015E+17,Georgia,Pacific Time (US & Canada)
neutral,,Virgin America,,papamurat,0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,2/23/15 16:13,5.70014E+17,,
positive,,Virgin America,,arieldaie,0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,2/23/15 16:08,5.70012E+17,Los Angeles,
neutral,,Virgin America,,vacations7,0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,2/23/15 16:04,5.70011E+17,Turks and caicos,
positive,,Virgin America,,ChelseaPoe666,0,@VirginAmerica wow this just blew my mind,2/23/15 16:01,5.70011E+17,Oakland via Midwest ,Atlantic Time (Canada)
neutral,,Virgin America,,BobGlavinVO,0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2/23/15 16:01,5.70011E+17,"New York, NY",Eastern Time (US & Canada)
neutral,,Virgin America,,lisaaiko,0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,2/23/15 15:58,5.7001E+17,,
neutral,,Virgin America,,grantbrowne,0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2/23/15 15:55,5.70009E+17,Worldwide,Central Time (US & Canada)
positive,,Virgin America,,joyabsalon,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2/23/15 15:46,5.70007E+17,Northern Virginia,Eastern Time (US & Canada)
neutral,,Virgin America,,2v,0,@VirginAmerica wish you flew out of Atlanta... Soon?,2/23/15 15:36,5.70004E+17,Los Angeles / Atlanta,Eastern Time (US & Canada)
neutral,,Virgin America,,KSmithFoundHere,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,2/23/15 15:24,5.70001E+17,,Atlantic Time (Canada)
neutral,,Virgin America,,papamurat,0,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,2/23/15 15:19,5.7E+17,,
negative,Flight Booking Problems,Virgin America,,murphicus,0,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,2/23/15 15:05,5.69996E+17,"new york, new york",Eastern Time (US & Canada)
positive,,Virgin America,,VinnieFerra,0,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,2/23/15 15:04,5.69996E+17,"brooklyn, Ny",Pacific Time (US & Canada)
positive,,Virgin America,,KevinDemsi,0,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! __,2/23/15 14:40,5.6999E+17,"Bali, Republic of Indonesia",Kuala Lumpur
neutral,,Virgin America,,giffgaffman,0,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,2/23/15 14:40,5.6999E+17,"UK, USA. ",
neutral,,Virgin America,,HanlonBrothers,0,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,2/23/15 14:37,5.6999E+17,"Gold Coast, Australia",Brisbane
neutral,,Virgin America,,emilybg78,0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,2/23/15 14:36,5.69989E+17,"Stockton, CA",Arizona
negative,Customer Service Issue,Virgin America,,rachie1126,0,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,2/23/15 14:35,5.69989E+17,"New York, NY",Eastern Time (US & Canada)
neutral,,Virgin America,,adawson66,0,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood __",2/23/15 14:30,5.69988E+17,,
neutral,,Virgin America,,SocialPLC,0,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",2/23/15 14:26,5.69987E+17,"Twin Cities, Minn.",Eastern Time (US & Canada)
positive,,Virgin America,,jeffreymace01,0,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,2/23/15 14:25,5.69986E+17,,
neutral,,Virgin America,,1stcrown,0,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,2/23/15 14:09,5.69982E+17,USA,Central Time (US & Canada)
negative,Customer Service Issue,Virgin America,,onerockgypsy,0,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,2/23/15 13:46,5.69977E+17,next city,Pacific Time (US & Canada)
negative,Late Flight,Virgin America,,noelduan,0,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",2/23/15 13:35,5.69974E+17,SF  NY,Eastern Time (US & Canada)
positive,,Virgin America,,Travelzoo,0,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,2/23/15 13:30,5.69973E+17,"New York, NY",Pacific Time (US & Canada)
negative,Lost Luggage,Virgin America,,gianagon,0,@VirginAmerica everything was fine until you lost my bag,2/23/15 13:08,5.69967E+17,New York + Panama,Eastern Time (US & Canada)
neutral,,Virgin America,,bxchen,0,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,2/23/15 12:47,5.69962E+17,"San Francisco, CA",Eastern Time (US & Canada)
neutral,,Virgin America,,seimatrun,0,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,2/23/15 12:00,5.6995E+17,Los Angeles,
neutral,,Virgin America,,jamied7,0,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",2/23/15 11:56,5.69949E+17,"London, England",London
negative,Flight Attendant Complaints,Virgin America,,seimatrun,0,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,2/23/15 11:46,5.69946E+17,Los Angeles,
positive,,Virgin America,,mrmichaellay,0,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",2/23/15 11:32,5.69943E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
positive,,Virgin America,,TaylorLumsden,0,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,2/23/15 11:28,5.69942E+17,"Dallas, Texas",Mountain Time (US & Canada)
neutral,,Virgin America,,campusmoviefest,0,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",2/23/15 11:24,5.69941E+17,USA,Eastern Time (US & Canada)
neutral,,Virgin America,,TaylorLumsden,0,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,2/23/15 11:22,5.6994E+17,"Dallas, Texas",Mountain Time (US & Canada)
negative,Customer Service Issue,Virgin America,,meme_meng,0,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,2/23/15 11:02,5.69935E+17,,
neutral,,Virgin America,,kyle_romanoff,0,@VirginAmerica what happened to Doom?!,2/23/15 10:58,5.69934E+17,,
negative,Customer Service Issue,Virgin America,,GunsNDip,0,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,2/23/15 10:56,5.69934E+17,,Pacific Time (US & Canada)
positive,,Virgin America,,artisticwritr87,0,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,2/23/15 10:56,5.69934E+17,"Seattle, WA",Pacific Time (US & Canada)
negative,Late Flight,Virgin America,,arieldaie,0,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,2/23/15 10:54,5.69933E+17,Los Angeles,
negative,Can't Tell,Virgin America,,GunsNDip,0,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,2/23/15 10:54,5.69933E+17,,Pacific Time (US & Canada)
negative,Can't Tell,Virgin America,,GunsNDip,0,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,2/23/15 10:38,5.69929E+17,,Pacific Time (US & Canada)
negative,Flight Booking Problems,Virgin America,,jsatk,0,@VirginAmerica I۪m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,2/23/15 10:29,5.69927E+17,"Lower Pacific Heights, SF, CA",Pacific Time (US & Canada)
neutral,,Virgin America,,serenaklal,0,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,2/23/15 10:15,5.69923E+17,Chicago,Eastern Time (US & Canada)
neutral,,Virgin America,,openambit1,0,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,2/23/15 10:09,5.69922E+17,,
neutral,,Virgin America,,cabowine,0,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,2/23/15 10:04,5.69921E+17,"Los Cabos,Mexico",Arizona
negative,Can't Tell,Virgin America,,MaryAnnTaylorT,0,@VirginAmerica Why is the site down?  When will it be back up?,2/23/15 9:57,5.69919E+17,"New York, NY",Arizona
neutral,,Virgin America,,RamotControl,0,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",2/23/15 9:45,5.69916E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,losermelon,0,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",2/23/15 9:35,5.69913E+17,,
negative,Cancelled Flight,Virgin America,,AlisonK33774854,0,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,2/23/15 9:29,5.69912E+17,,
negative,Late Flight,Virgin America,,GunsNDip,0,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",2/23/15 9:28,5.69912E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,yazdanagh,0,@VirginAmerica why is flight 345 redirected?,2/23/15 9:26,5.69911E+17,,
negative,Customer Service Issue,Virgin America,,MerchEngines,0,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",2/23/15 9:25,5.69911E+17,"Los Angeles, CA",Arizona
negative,Customer Service Issue,Virgin America,,ColorCartel,0,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,2/23/15 9:18,5.69909E+17,"Austin, TX",Mountain Time (US & Canada)
negative,Can't Tell,Virgin America,,MustBeSpoken,0,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,2/23/15 9:11,5.69907E+17,,
negative,Flight Booking Problems,Virgin America,,mattbunk,0,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,2/23/15 8:29,5.69897E+17,"Sterling Heights, MI",Eastern Time (US & Canada)
negative,Customer Service Issue,Virgin America,,louisjenny,0,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,2/23/15 8:19,5.69894E+17,Washington DC,Quito
neutral,,Virgin America,,STravelsW,0,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,2/23/15 8:19,5.69894E+17,"Manhattan Beach, CA",
negative,Late Flight,Virgin America,,GunsNDip,0,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,2/23/15 8:11,5.69892E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,joeyrenagade,0,@VirginAmerica check out new music http://t.co/maRcnOCWzn,2/23/15 8:08,5.69891E+17,Greater Los Angeles,
negative,Late Flight,Virgin America,,mrmichaellay,0,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,2/23/15 8:08,5.69891E+17,Floridian from Cincinnati ,Eastern Time (US & Canada)
negative,Late Flight,Virgin America,,GunsNDip,0,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,2/23/15 7:51,5.69887E+17,,Pacific Time (US & Canada)
positive,,Virgin America,,TheDuchessSF,0,"@VirginAmerica - amazing customer  service, again! _ե_ե RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",2/23/15 7:50,5.69887E+17,Online,Pacific Time (US & Canada)
negative,Customer Service Issue,Virgin America,,BeLeather,0,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,2/23/15 7:40,5.69885E+17,,Pacific Time (US & Canada)
negative,Flight Booking Problems,Virgin America,,BeLeather,0,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,2/23/15 7:40,5.69884E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,drcaseydrake,0,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,2/23/15 7:28,5.69882E+17,"Dallas, TX",
positive,,Virgin America,,flyfromWAS,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",2/23/15 6:57,5.69874E+17,"Washington, DC",Eastern Time (US & Canada)
neutral,,Virgin America,,flyfromSEA,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",2/23/15 6:57,5.69874E+17,Seattle,Central Time (US & Canada)
positive,,Virgin America,,flyfromNYC,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",2/23/15 6:57,5.69874E+17,"New York City, NY",Central Time (US & Canada)
neutral,,Virgin America,,flyfromLAX,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",2/23/15 6:57,5.69874E+17,"Los Angeles, CA",Central Time (US & Canada)
positive,,Virgin America,,Silvanabfer,0,@VirginAmerica Have a great week __,2/23/15 6:51,5.69872E+17,,
positive,,Virgin America,,AdamJdubs,0,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,2/23/15 6:07,5.69861E+17,Earth,Eastern Time (US & Canada)
negative,Late Flight,Virgin America,,nicholas_v,0,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",2/23/15 5:15,5.69848E+17,,Eastern Time (US & Canada)
positive,,Virgin America,,tstashajones,0,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",2/23/15 3:01,5.69814E+17,"Halifax, Nova Scotia, Canada",Eastern Time (US & Canada)
positive,,Virgin America,,SkateMamas,0,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,2/23/15 0:35,5.69778E+17,"Los Angeles, CA",
positive,,Virgin America,,dngoo,0,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,2/23/15 0:21,5.69774E+17,"Near a park, water, or lights",Pacific Time (US & Canada)
positive,,Virgin America,,SamBrittenham,0,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",2/23/15 0:06,5.6977E+17,USA,Eastern Time (US & Canada)
negative,Customer Service Issue,Virgin America,,usagibrian,0,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,2/22/15 22:39,5.69748E+17,San Francisco CA,Pacific Time (US & Canada)
negative,Flight Booking Problems,Virgin America,,usagibrian,0,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",2/22/15 22:11,5.69741E+17,San Francisco CA,Pacific Time (US & Canada)
negative,Customer Service Issue,Virgin America,,KindofLuke,0,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,2/22/15 21:56,5.69738E+17,,
positive,,Virgin America,,ptbrodie,0,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,2/22/15 20:23,5.69714E+17,San Francisco,
positive,,Virgin America,,cheryleng,0,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,2/22/15 17:48,5.69675E+17,,Pacific Time (US & Canada)
neutral,,Virgin America,,HishamSharaby,0,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",2/22/15 17:45,5.69674E+17,New York,Eastern Time (US & Canada)
negative,Customer Service Issue,Virgin America,,ChrisFordisHere,0,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,2/22/15 17:14,5.69666E+17,NYC,Tehran
positive,,Virgin America,,JKF1897,0,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,2/22/15 16:18,5.69652E+17,,
neutral,,Virgin America,,F6x,0,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,2/22/15 16:05,5.69649E+17,"San Francisco, CA",Pacific Time (US & Canada)
neutral,,Virgin America,,lawyang588,0,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,2/22/15 15:41,5.69643E+17,,
negative,Customer Service Issue,Virgin America,,melokudo,0,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,2/22/15 15:40,5.69643E+17,,Eastern Time (US & Canada)
negative,Can't Tell,Virgin America,,ChrysiChrysic,0,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,2/22/15 15:06,5.69634E+17,,
neutral,,Virgin America,,nikkisixxfan93,0,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,2/22/15 15:03,5.69634E+17,"Sacramento,California",Pacific Time (US & Canada)
negative,Cancelled Flight,Virgin America,,ChrysiChrysic,0,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,2/22/15 15:02,5.69633E+17,,
negative,Late Flight,Virgin America,,MOCBlogger,0,@VirginAmerica Another delayed flight? #likingyoulessandless,2/22/15 14:49,5.6963E+17,San Diego,Alaska
negative,Customer Service Issue,Virgin America,,tfaz,0,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,2/22/15 14:39,5.69627E+17,"Oakland, California",Pacific Time (US & Canada)
positive,,Virgin America,,lisaptv,1,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,2/22/15 14:32,5.69626E+17,,Mountain Time (US & Canada)
neutral,,Virgin America,,dropapp,0,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",2/22/15 14:31,5.69626E+17,,
positive,,Virgin America,,HollywoodHotMom,0,@VirginAmerica always!!! Xoxo,2/22/15 14:09,5.6962E+17,All Over!,Pacific Time (US & Canada)
